epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1569.56,0.96913,1.04912,1.1827,0.6804,0.59028,0.63989,0.43819,1.19273,1.68655,1.32923,0.00092825,0.00092825,0.00092825
28,1626.71,0.98084,1.07016,1.18782,0.67142,0.57668,0.59485,0.38582,1.26712,1.74883,1.43138,0.000915875,0.000915875,0.000915875
29,1683.16,0.96751,0.97825,1.16794,0.86323,0.58868,0.67341,0.51056,1.28133,1.75665,1.43039,0.0009035,0.0009035,0.0009035
30,1739.15,0.97067,0.95399,1.14736,0.83827,0.56761,0.6809,0.42631,1.27151,1.62401,1.36464,0.000891125,0.000891125,0.000891125
31,1796.4,0.97362,0.93308,1.16011,0.86041,0.56393,0.70791,0.48552,1.27004,1.42709,1.38445,0.00087875,0.00087875,0.00087875
32,1852.2,0.93259,0.89326,1.14518,0.85267,0.57927,0.71571,0.5088,1.15925,1.25716,1.32888,0.000866375,0.000866375,0.000866375
33,1907.85,0.87924,0.8527,1.13792,0.75917,0.562,0.64589,0.46106,1.17293,1.31022,1.381,0.000854,0.000854,0.000854
34,1964.62,0.89227,0.87296,1.14653,0.74334,0.77111,0.73295,0.48225,1.23535,1.29776,1.47009,0.000841625,0.000841625,0.000841625
35,2021.49,0.87894,0.84777,1.11826,0.823,0.68902,0.76564,0.55728,1.12092,1.20374,1.29854,0.00082925,0.00082925,0.00082925
36,2076.59,0.87133,0.82567,1.09866,0.82249,0.62936,0.7411,0.51742,1.16667,1.23543,1.33916,0.000816875,0.000816875,0.000816875
37,2133.7,0.88572,0.83553,1.12091,0.79074,0.65579,0.74095,0.48682,1.11375,1.46915,1.33477,0.0008045,0.0008045,0.0008045
38,2195.3,0.82431,0.83111,1.10993,0.68773,0.7077,0.78412,0.51878,1.14813,1.35454,1.34136,0.000792125,0.000792125,0.000792125
39,2253.39,0.84098,0.81435,1.1123,0.83295,0.69224,0.77099,0.55002,1.26488,1.3577,1.50065,0.00077975,0.00077975,0.00077975
40,2310.8,0.86525,0.8164,1.11282,0.77433,0.63131,0.73056,0.50498,1.23382,1.58404,1.45884,0.000767375,0.000767375,0.000767375
41,2368.5,0.8412,0.78168,1.08957,0.84937,0.63333,0.78999,0.51334,1.10306,1.2257,1.32412,0.000755,0.000755,0.000755
42,2426.03,0.83911,0.78107,1.10431,0.75912,0.74049,0.77213,0.52197,1.11661,1.26184,1.31646,0.000742625,0.000742625,0.000742625
43,2484.47,0.79629,0.69111,1.06405,0.81737,0.66718,0.80269,0.56325,1.12526,1.30361,1.3653,0.00073025,0.00073025,0.00073025
44,2541.34,0.82811,0.7271,1.10661,0.8968,0.68806,0.83688,0.59814,1.08526,1.33268,1.30228,0.000717875,0.000717875,0.000717875
45,2598.39,0.77838,0.71998,1.0791,0.73151,0.83552,0.80489,0.57781,1.17888,1.33377,1.42537,0.0007055,0.0007055,0.0007055
46,2655.13,0.80438,0.7402,1.0703,0.8209,0.77267,0.82105,0.58181,1.10031,1.17521,1.34194,0.000693125,0.000693125,0.000693125
47,2711.73,0.81307,0.72943,1.08262,0.85577,0.66795,0.78648,0.58274,1.13606,1.2494,1.37993,0.00068075,0.00068075,0.00068075
48,2768.04,0.78668,0.68202,1.06938,0.85934,0.67728,0.77282,0.57857,1.12337,1.26686,1.36392,0.000668375,0.000668375,0.000668375
